Glottocode,LanguageName,macroarea,family_name,latitude,longitude,total_phonemes,has_click,has_tone_segment,kmeans_cluster,kmeans6_cluster,hier_cluster
aari1239,Aari,Africa,South Omotic,5.95034,36.5721,36,False,False,1,2,8
abar1238,Mungbam,Africa,Atlantic-Congo,6.5805,10.2267,34,False,True,9,4,8
abau1245,Abau,Papunesia,Sepik,-3.97222,141.324,14,False,False,6,5,7
abid1235,Abidji,Africa,Atlantic-Congo,5.65656,-4.58421,39,False,False,3,4,5
abip1241,Abipon,South America,Guaicuruan,-29.0,-61.0,23,False,False,6,5,7
abkh1244,Abkhaz,Eurasia,Abkhaz-Adyge,43.056218,41.159115,70,False,False,1,2,10
abua1244,Abua,Africa,Atlantic-Congo,4.83057,6.61492,40,False,True,9,4,4
abuj1237,Abujmaria,Eurasia,Dravidian,19.7875,79.9144,39,False,False,5,3,8
abur1243,Abure,Africa,Atlantic-Congo,5.21534,-3.64123,38,False,True,3,4,9
acat1239,TLAPANEC,North America,Otomanguean,17.1034,-99.0602,30,False,False,2,1,8
acha1249,Achang,Eurasia,Sino-Tibetan,24.3479,97.7438,59,False,False,8,2,10
acha1250,Achagua,South America,Arawakan,4.38649,-72.2005,29,False,False,6,5,7
ache1245,Asharon,Africa,Narrow Talodi,10.8827,30.3187,38,False,False,7,3,3
ache1246,Aché,South America,Tupian,-25.5865,-56.4697,34,False,False,10,5,7
achi1257,Acehnese,Eurasia,Austronesian,3.90757,96.6032,54,False,False,3,2,6
achu1247,ACHUMAWI,North America,Palaihnihan,41.0979,-121.191,23,False,False,6,5,7
achu1248,Achuar-Shiwiar,South America,Chicham,-2.82646,-77.2641,27,False,False,6,5,7
acol1236,Acholi,Africa,Nilotic,3.57738,32.5147,29,False,True,8,4,9
adam1253,Fulfulde (Cameroon),Africa,Atlantic-Congo,8.140326,13.077338,45,False,False,7,3,3
adan1247,Dangme,Africa,Atlantic-Congo,5.9437,0.13243,39,False,True,3,4,5
