Glottocode,LanguageName,macroarea,family_name,latitude,longitude,total_phonemes,n_consonants,n_vowels,n_tones,has_click,has_tone_segment,n_nasal_phonemes,consonant_ratio,vowel_ratio
aari1239,Aari,Africa,South Omotic,5.95034,36.5721,36,26,10,0,False,False,2,0.7222,0.2778
abar1238,Mungbam,Africa,Atlantic-Congo,6.5805,10.2267,34,23,7,4,False,True,4,0.6765,0.2059
abau1245,Abau,Papunesia,Sepik,-3.97222,141.324,14,9,5,0,False,False,2,0.6429,0.3571
abid1235,Abidji,Africa,Atlantic-Congo,5.65656,-4.58421,39,21,18,0,False,False,12,0.5385,0.4615
abip1241,Abipon,South America,Guaicuruan,-29.0,-61.0,23,13,10,0,False,False,3,0.5652,0.4348
abkh1244,Abkhaz,Eurasia,Abkhaz-Adyge,43.056218,41.159115,70,67,3,0,False,False,2,0.9571,0.0429
abua1244,Abua,Africa,Atlantic-Congo,4.83057,6.61492,40,27,10,3,False,True,5,0.675,0.25
abuj1237,Abujmaria,Eurasia,Dravidian,19.7875,79.9144,39,22,17,0,False,False,5,0.5641,0.4359
abur1243,Abure,Africa,Atlantic-Congo,5.21534,-3.64123,38,20,14,4,False,True,9,0.5263,0.3684
acat1239,TLAPANEC,North America,Otomanguean,17.1034,-99.0602,30,20,10,0,False,False,7,0.6667,0.3333
acha1249,Achang,Eurasia,Sino-Tibetan,24.3479,97.7438,59,36,23,0,False,False,12,0.6102,0.3898
acha1250,Achagua,South America,Arawakan,4.38649,-72.2005,29,19,10,0,False,False,2,0.6552,0.3448
ache1245,Asharon,Africa,Narrow Talodi,10.8827,30.3187,38,18,20,0,False,False,6,0.4737,0.5263
ache1246,Aché,South America,Tupian,-25.5865,-56.4697,34,22,12,0,False,False,9,0.6471,0.3529
achi1257,Acehnese,Eurasia,Austronesian,3.90757,96.6032,54,20,34,0,False,False,11,0.3704,0.6296
achu1247,ACHUMAWI,North America,Palaihnihan,41.0979,-121.191,23,17,6,0,False,False,2,0.7391,0.2609
achu1248,Achuar-Shiwiar,South America,Chicham,-2.82646,-77.2641,27,15,12,0,False,False,7,0.5556,0.4444
acol1236,Acholi,Africa,Nilotic,3.57738,32.5147,29,17,9,3,False,True,4,0.5862,0.3103
adam1253,Fulfulde (Cameroon),Africa,Atlantic-Congo,8.140326,13.077338,45,35,10,0,False,False,6,0.7778,0.2222
adan1247,Dangme,Africa,Atlantic-Congo,5.9437,0.13243,39,23,12,4,False,True,10,0.5897,0.3077
adan1251,Adang,Papunesia,Timor-Alor-Pantar,-8.18958,124.448,40,18,22,0,False,False,4,0.45,0.55
