,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10
m,0.9898477,0.95852536,0.9354839,1.0,0.9913793,0.9659574,0.99615383,0.9774194,0.9767442,0.8375
i,0.76142126,0.94009215,1.0,0.9747899,0.94827586,0.89361703,0.9653846,0.9612903,0.94418603,1.0
k,0.69035524,0.84792626,0.9354839,0.8277311,0.95689654,0.9574468,0.9576923,0.9387097,0.97209305,0.96875
j,0.9187817,0.86175114,0.9741935,0.99999994,0.8965517,0.88085103,0.9346154,0.82580644,0.9302326,0.78125
u,0.73096454,0.921659,0.9935484,0.9579832,0.9655172,0.70638305,0.9461539,0.9387097,0.9395349,0.8875
a,0.57868016,0.86175114,0.96129036,0.99579835,0.76724136,0.9404256,0.923077,0.82258064,0.95813954,0.98125005
p,0.62944156,0.81566817,0.8645161,0.8277311,0.95689654,0.9234042,0.81923074,0.86451614,0.8697674,0.93749994
w,0.6192893,0.7603686,0.9741935,0.99999994,0.7413793,0.8425532,0.9,0.80967736,0.96279067,0.78749996
n,0.78680205,0.07834101,0.8967742,1.0,0.6034483,0.9617021,0.9846154,0.9516129,0.9395349,0.81875
t,0.49746192,0.036866248,0.93548393,0.8277311,0.12068963,0.9404255,0.8884615,0.8903226,0.89302325,0.93125004
l,0.7106599,0.06912452,0.86451614,0.9999999,0.88793105,0.51063824,0.9307692,0.8193548,0.8465116,0.33124992
s,0.85786796,0.09216589,0.9806451,1.7881393e-07,0.88793105,0.83829784,0.89230764,0.79999995,0.9348837,0.70625
e,0.4365482,0.3225806,0.9612903,0.26890758,0.87068963,0.5361702,0.85769224,0.7064516,0.8372093,0.825
ŋ,0.32994914,0.71889395,0.66451615,0.99999994,0.8103448,0.19999993,0.8346153,0.7387096,0.72558135,0.38124993
o,0.43147215,0.2995393,0.95483875,0.18487406,0.87931037,0.56170213,0.8538463,0.69032264,0.8000001,0.82500005
b,0.9238579,0.294931,0.967742,2.3841858e-07,0.98275864,0.20425549,0.8500001,0.79677427,0.9162792,0.48125
ɡ,0.87309635,0.27188933,0.8774193,-5.9604645e-08,0.97413784,0.06382972,0.77307683,0.73225796,0.89302313,0.3499999
h,0.75634515,0.33179718,0.6193548,0.00420177,0.6034483,0.7319148,0.65769225,0.50322574,0.5534884,0.775
d,0.6040609,0.018433273,0.9290323,1.1920929e-07,0.1465517,0.123404354,0.8076924,0.7225807,0.8372094,0.44374996
r,0.56852794,0.10599071,0.516129,0.98319304,0.6034483,0.114893556,0.60384613,0.5096774,0.5488372,0.13124996
ɲ,0.32994926,0.15668204,0.6709677,0.012605101,0.51724136,0.28936172,0.77307695,0.5064516,0.7302326,0.28125
f,0.7614213,0.21658988,0.9096774,2.9802322e-08,0.23275861,0.07234046,0.6923076,0.37419355,0.90697676,0.087500006
t̠ʃ,0.69543135,0.19354838,0.38709676,-2.3841858e-07,0.16379309,0.6851063,0.4846154,0.24838708,0.48372093,0.48125
ɛ,0.34010154,0.14746542,0.93548405,0.008403271,0.31034485,0.1659574,0.58846164,0.3806452,0.73953503,0.21250002
ʔ,0.3248731,0.3502304,0.17419349,0.11344527,0.2413793,0.6212765,0.38461536,0.37096772,0.30232558,0.61249995
