given_A,phoneme_B,P(B|A),n_A,n_AB
m,i,0.9391,2103,1975
m,k,0.9025,2103,1898
m,j,0.9006,2103,1894
m,u,0.8949,2103,1882
m,a,0.8797,2103,1850
m,p,0.8464,2103,1780
m,w,0.8402,2103,1767
m,n,0.8426,2103,1772
m,t,0.7271,2103,1529
m,l,0.7161,2103,1506
m,s,0.6833,2103,1437
m,e,0.64,2103,1346
m,ŋ,0.6591,2103,1386
m,o,0.6248,2103,1314
m,b,0.6139,2103,1291
m,ɡ,0.5497,2103,1156
m,h,0.533,2103,1121
m,d,0.467,2103,982
m,r,0.4803,2103,1010
m,ɲ,0.4332,2103,911
m,f,0.4213,2103,886
m,t̠ʃ,0.3823,2103,804
m,ɛ,0.368,2103,774
m,ʔ,0.3576,2103,752
m,ɔ,0.359,2103,755
m,iː,0.3557,2103,748
m,aː,0.3376,2103,710
m,ʃ,0.3357,2103,706
m,uː,0.3276,2103,689
i,m,0.9653,2046,1975
i,k,0.9101,2046,1862
i,j,0.8949,2046,1831
i,u,0.9409,2046,1925
i,a,0.8983,2046,1838
i,p,0.847,2046,1733
i,w,0.8524,2046,1744
i,n,0.8216,2046,1681
i,t,0.7341,2046,1502
i,l,0.7019,2046,1436
i,s,0.6764,2046,1384
i,e,0.672,2046,1375
i,ŋ,0.6466,2046,1323
i,o,0.653,2046,1336
i,b,0.6124,2046,1253
i,ɡ,0.5484,2046,1122
i,h,0.5371,2046,1099
i,d,0.4736,2046,969
i,r,0.4663,2046,954
i,ɲ,0.4316,2046,883
i,f,0.4042,2046,827
i,t̠ʃ,0.3793,2046,776
i,ɛ,0.3651,2046,747
i,ʔ,0.3539,2046,724
i,ɔ,0.3602,2046,737
i,iː,0.346,2046,708
i,aː,0.3314,2046,678
i,ʃ,0.3192,2046,653
i,uː,0.3177,2046,650
k,m,0.9659,1965,1898
k,i,0.9476,1965,1862
k,j,0.8977,1965,1764
k,u,0.9023,1965,1773
k,a,0.8916,1965,1752
k,p,0.9125,1965,1793
k,w,0.8422,1965,1655
k,n,0.8275,1965,1626
k,t,0.7878,1965,1548
k,l,0.7023,1965,1380
k,s,0.6931,1965,1362
k,e,0.659,1965,1295
k,ŋ,0.6433,1965,1264
k,o,0.6448,1965,1267
k,b,0.6234,1965,1225
k,ɡ,0.5613,1965,1103
k,h,0.5455,1965,1072
k,d,0.483,1965,949
k,r,0.4682,1965,920
k,ɲ,0.4463,1965,877
k,f,0.4214,1965,828
k,t̠ʃ,0.4046,1965,795
k,ɛ,0.3735,1965,734
k,ʔ,0.3491,1965,686
k,ɔ,0.3669,1965,721
k,iː,0.3501,1965,688
k,aː,0.3364,1965,661
k,ʃ,0.3293,1965,647
k,uː,0.3221,1965,633
j,m,0.9703,1952,1894
j,i,0.938,1952,1831
j,k,0.9037,1952,1764
j,u,0.897,1952,1751
j,a,0.8842,1952,1726
j,p,0.8407,1952,1641
j,w,0.8975,1952,1752
j,n,0.8279,1952,1616
j,t,0.7305,1952,1426
j,l,0.7188,1952,1403
j,s,0.6783,1952,1324
j,e,0.644,1952,1257
j,ŋ,0.6552,1952,1279
j,o,0.626,1952,1222
j,b,0.6137,1952,1198
j,ɡ,0.5507,1952,1075
j,h,0.5282,1952,1031
j,d,0.4728,1952,923
j,r,0.4851,1952,947
j,ɲ,0.4237,1952,827
j,f,0.4206,1952,821
j,t̠ʃ,0.3852,1952,752
j,ɛ,0.3719,1952,726
j,ʔ,0.3525,1952,688
j,ɔ,0.3632,1952,709
j,iː,0.3627,1952,708
j,aː,0.3473,1952,678
j,ʃ,0.3381,1952,660
j,uː,0.3361,1952,656
u,m,0.9656,1949,1882
u,i,0.9877,1949,1925
u,k,0.9097,1949,1773
u,j,0.8984,1949,1751
u,a,0.8964,1949,1747
u,p,0.8461,1949,1649
u,w,0.8589,1949,1674
u,n,0.8138,1949,1586
u,t,0.725,1949,1413
u,l,0.7152,1949,1394
u,s,0.6762,1949,1318
u,e,0.6757,1949,1317
u,ŋ,0.6624,1949,1291
u,o,0.6542,1949,1275
u,b,0.6219,1949,1212
u,ɡ,0.5593,1949,1090
u,h,0.5264,1949,1026
u,d,0.4782,1949,932
u,r,0.4859,1949,947
u,ɲ,0.4371,1949,852
u,f,0.4212,1949,821
u,t̠ʃ,0.3663,1949,714
u,ɛ,0.3746,1949,730
u,ʔ,0.3448,1949,672
u,ɔ,0.3761,1949,733
u,iː,0.3381,1949,659
u,aː,0.3279,1949,639
u,ʃ,0.3079,1949,600
u,uː,0.3371,1949,657
a,m,0.963,1921,1850
a,i,0.9568,1921,1838
a,k,0.912,1921,1752
a,j,0.8985,1921,1726
a,u,0.9094,1921,1747
a,p,0.8475,1921,1628
a,w,0.8719,1921,1675
a,n,0.8319,1921,1598
a,t,0.7522,1921,1445
