given_A,a,aː,b,d,e,f,h,i,iː,j,k,l,m,n,o,p,r,s,t,t̠ʃ,u,uː,w,ŋ,ɔ,ɛ,ɡ,ɲ,ʃ,ʔ
a,,0.365,0.594,0.472,0.667,0.398,0.539,0.957,0.347,0.898,0.912,0.703,0.963,0.832,0.649,0.848,0.459,0.676,0.752,0.382,0.909,0.321,0.872,0.652,0.366,0.364,0.527,0.429,0.316,0.365
aː,0.97,,0.552,0.437,0.618,0.393,0.534,0.938,0.913,0.938,0.914,0.768,0.982,0.852,0.621,0.858,0.496,0.675,0.734,0.383,0.884,0.844,0.885,0.715,0.339,0.342,0.484,0.438,0.318,0.368
b,0.851,0.297,,0.739,0.738,0.586,0.633,0.934,0.34,0.893,0.913,0.746,0.962,0.829,0.728,0.826,0.49,0.836,0.73,0.431,0.903,0.322,0.826,0.618,0.478,0.478,0.852,0.544,0.378,0.362
d,0.88,0.307,0.963,,0.774,0.622,0.65,0.941,0.344,0.896,0.921,0.806,0.953,0.943,0.756,0.841,0.513,0.897,0.923,0.452,0.905,0.325,0.867,0.636,0.518,0.518,0.85,0.58,0.375,0.371
e,0.916,0.32,0.708,0.57,,0.48,0.59,0.983,0.329,0.898,0.926,0.743,0.962,0.857,0.913,0.846,0.468,0.783,0.771,0.406,0.941,0.307,0.864,0.651,0.436,0.405,0.632,0.53,0.324,0.362
f,0.845,0.314,0.87,0.708,0.741,,0.638,0.914,0.361,0.907,0.915,0.802,0.979,0.858,0.735,0.808,0.528,0.876,0.764,0.486,0.907,0.346,0.817,0.65,0.569,0.566,0.806,0.588,0.435,0.293
h,0.88,0.328,0.722,0.569,0.702,0.491,,0.934,0.36,0.877,0.912,0.694,0.953,0.836,0.703,0.843,0.409,0.832,0.764,0.481,0.872,0.321,0.821,0.542,0.4,0.411,0.635,0.464,0.434,0.471
i,0.898,0.331,0.612,0.474,0.672,0.404,0.537,,0.346,0.895,0.91,0.702,0.965,0.822,0.653,0.847,0.466,0.676,0.734,0.379,0.941,0.318,0.852,0.647,0.36,0.365,0.548,0.432,0.319,0.354
iː,0.874,0.865,0.599,0.464,0.603,0.429,0.556,0.928,,0.928,0.902,0.755,0.98,0.84,0.615,0.845,0.495,0.699,0.713,0.389,0.864,0.903,0.847,0.691,0.345,0.364,0.537,0.439,0.35,0.347
j,0.884,0.347,0.614,0.473,0.644,0.421,0.528,0.938,0.363,,0.904,0.719,0.97,0.828,0.626,0.841,0.485,0.678,0.73,0.385,0.897,0.336,0.898,0.655,0.363,0.372,0.551,0.424,0.338,0.352
k,0.892,0.336,0.623,0.483,0.659,0.421,0.546,0.948,0.35,0.898,,0.702,0.966,0.828,0.645,0.912,0.468,0.693,0.788,0.405,0.902,0.322,0.842,0.643,0.367,0.374,0.561,0.446,0.329,0.349
l,0.885,0.364,0.656,0.544,0.682,0.476,0.535,0.941,0.378,0.919,0.904,,0.987,0.94,0.659,0.856,0.599,0.757,0.802,0.369,0.914,0.359,0.87,0.714,0.405,0.406,0.601,0.48,0.324,0.336
m,0.88,0.338,0.614,0.467,0.64,0.421,0.533,0.939,0.356,0.901,0.902,0.716,,0.843,0.625,0.846,0.48,0.683,0.727,0.382,0.895,0.328,0.84,0.659,0.359,0.368,0.55,0.433,0.336,0.358
