family_name,n_languages,avg_inventory,median_inventory,avg_consonants,avg_vowels,pct_with_clicks,pct_with_tones
Abkhaz-Adyge,3,64.0,63.0,59.3,4.7,0.0,0.0
Afro-Asiatic,108,43.1,41.0,33.4,8.4,0.9,42.6
Ainu,1,17.0,17.0,12.0,5.0,0.0,0.0
Algic,7,30.4,29.0,19.1,11.3,0.0,0.0
Angan,1,21.0,21.0,12.0,9.0,0.0,0.0
Araucanian,1,28.0,28.0,22.0,6.0,0.0,0.0
Arawakan,43,26.7,26.0,17.6,9.1,0.0,0.0
Arawan,5,22.6,22.0,17.2,5.4,0.0,0.0
Athabaskan-Eyak-Tlingit,10,48.5,49.5,34.0,12.7,0.0,50.0
Atlantic-Congo,422,40.9,38.0,26.4,12.0,2.1,70.9
Austroasiatic,40,43.2,41.0,23.2,19.8,0.0,7.5
Austronesian,110,26.0,24.0,18.2,7.7,0.0,0.9
Aymaran,2,37.0,37.0,31.0,6.0,0.0,0.0
Baining,1,22.0,22.0,14.0,8.0,0.0,0.0
Barbacoan,4,26.2,26.0,19.0,7.2,0.0,0.0
Basque,1,43.0,43.0,29.0,14.0,0.0,0.0
Blue Nile Mao,1,35.0,35.0,22.0,10.0,0.0,100.0
Bookkeeping,5,36.2,39.0,24.4,11.8,0.0,0.0
Boran,3,33.3,31.0,22.7,10.7,0.0,0.0
Border,3,21.0,22.0,13.0,8.0,0.0,0.0
Bororoan,2,21.0,21.0,13.5,7.5,0.0,0.0
Bunaban,2,23.5,23.5,19.5,4.0,0.0,0.0
Caddoan,2,26.0,26.0,20.5,5.5,0.0,0.0
Cahuapanan,2,20.0,20.0,16.0,4.0,0.0,0.0
Cariban,24,22.2,22.5,12.6,9.6,0.0,0.0
Central Sudanic,23,45.1,45.0,32.1,10.5,0.0,73.9
Chapacuran,2,19.5,19.5,13.5,6.0,0.0,0.0
Chibchan,11,26.8,27.0,17.0,9.8,0.0,0.0
Chicham,4,23.5,23.5,14.5,9.0,0.0,0.0
Chimakuan,1,35.0,35.0,32.0,3.0,0.0,0.0
Chiquitano,1,26.0,26.0,14.0,12.0,0.0,0.0
Chocoan,6,32.5,32.5,18.7,13.8,0.0,0.0
Chonan,2,32.0,32.0,24.5,7.5,0.0,0.0
Chukotko-Kamchatkan,4,25.2,24.5,18.8,6.5,0.0,0.0
