given_A,phoneme_B,P(B|A),n_A,n_AB
ŋ,m,0.9943,1394,1386
r,m,0.9921,1018,1010
n,m,0.9911,1788,1772
ɲ,m,0.9891,921,911
u,i,0.9877,1949,1925
l,m,0.9869,1526,1506
e,i,0.9828,1399,1375
aː,m,0.982,723,710
iː,m,0.9803,763,748
uː,iː,0.9801,703,689
uː,m,0.9801,703,689
ʃ,m,0.9792,721,706
f,m,0.979,905,886
o,i,0.978,1366,1336
p,k,0.9766,1836,1793
t,k,0.9748,1588,1548
j,m,0.9703,1952,1894
aː,a,0.9696,723,701
p,m,0.9695,1836,1780
ɔ,m,0.9692,779,755
s,m,0.969,1483,1437
ɛ,m,0.9675,800,774
k,m,0.9659,1965,1898
u,m,0.9656,1949,1882
i,m,0.9653,2046,1975
t̠ʃ,m,0.9652,833,804
w,m,0.965,1831,1767
d,b,0.9631,1030,992
a,m,0.963,1921,1850
t,m,0.9628,1588,1529
ɡ,m,0.9625,1201,1156
e,m,0.9621,1399,1346
b,m,0.962,1342,1291
o,m,0.9619,1366,1314
ʔ,m,0.9604,783,752
ɲ,i,0.9587,921,883
t,n,0.9584,1588,1522
w,j,0.9569,1831,1752
a,i,0.9568,1921,1838
t̠ʃ,k,0.9544,833,795
d,m,0.9534,1030,982
h,m,0.9532,1176,1121
w,i,0.9525,1831,1744
ɡ,b,0.9525,1201,1144
ɲ,k,0.9522,921,877
ŋ,i,0.9491,1394,1323
k,i,0.9476,1965,1862
ɔ,i,0.9461,779,737
t,i,0.9458,1588,1502
p,i,0.9439,1836,1733
d,n,0.9427,1030,971
e,u,0.9414,1399,1317
l,i,0.941,1526,1436
ɔ,u,0.9409,779,733
i,u,0.9409,2046,1925
d,i,0.9408,1030,969
n,i,0.9402,1788,1681
l,n,0.9397,1526,1434
m,i,0.9391,2103,1975
j,i,0.938,1952,1831
aː,j,0.9378,723,678
aː,i,0.9378,723,678
r,i,0.9371,1018,954
o,e,0.9348,1366,1277
uː,u,0.9346,703,657
h,i,0.9345,1176,1099
ɡ,i,0.9342,1201,1122
ɛ,i,0.9337,800,747
b,i,0.9337,1342,1253
o,u,0.9334,1366,1275
s,i,0.9332,1483,1384
uː,j,0.9331,703,656
t̠ʃ,i,0.9316,833,776
r,u,0.9303,1018,947
r,j,0.9303,1018,947
iː,j,0.9279,763,708
iː,i,0.9279,763,708
o,k,0.9275,1366,1267
ŋ,u,0.9261,1394,1291
e,k,0.9257,1399,1295
ɔ,k,0.9255,779,721
ɲ,u,0.9251,921,852
ʔ,i,0.9246,783,724
uː,i,0.9246,703,650
r,n,0.9244,1018,941
d,t,0.9233,1030,951
d,k,0.9214,1030,949
l,j,0.9194,1526,1403
s,k,0.9184,1483,1362
ɡ,k,0.9184,1201,1103
ɛ,k,0.9175,800,734
ŋ,j,0.9175,1394,1279
e,a,0.9157,1399,1281
ʃ,j,0.9154,721,660
f,k,0.9149,905,828
w,a,0.9148,1831,1675
t,p,0.9144,1588,1452
w,u,0.9143,1831,1674
aː,k,0.9142,723,661
f,i,0.9138,905,827
l,u,0.9135,1526,1394
aː,iː,0.9129,723,660
o,a,0.9129,1366,1247
e,o,0.9128,1399,1277
b,k,0.9128,1342,1225
ɛ,u,0.9125,800,730
k,p,0.9125,1965,1793
a,k,0.912,1921,1752
h,k,0.9116,1176,1072
ɔ,j,0.9101,779,709
i,k,0.9101,2046,1862
t,a,0.9099,1588,1445
u,k,0.9097,1949,1773
n,k,0.9094,1788,1626
a,u,0.9094,1921,1747
ɲ,n,0.9077,921,836
ɡ,u,0.9076,1201,1090
ɛ,j,0.9075,800,726
f,u,0.9072,905,821
f,j,0.9072,905,821
ŋ,k,0.9067,1394,1264
s,n,0.9063,1483,1344
ʃ,i,0.9057,721,653
d,u,0.9049,1030,932
l,k,0.9043,1526,1380
w,k,0.9039,1831,1655
n,j,0.9038,1788,1616
j,k,0.9037,1952,1764
r,k,0.9037,1018,920
b,u,0.9031,1342,1212
iː,uː,0.903,763,689
t̠ʃ,j,0.9028,833,752
m,k,0.9025,2103,1898
ɔ,a,0.9024,779,703
k,u,0.9023,1965,1773
iː,k,0.9017,763,688
m,j,0.9006,2103,1894
uː,k,0.9004,703,633
