,m,i,k,j,u,a,p,w,n,t,l,s,e,ŋ,o,b,ɡ,h,d,r,ɲ,f,t̠ʃ,ɛ,ʔ,ɔ,iː,aː,ʃ,uː,z,d̠ʒ,v,ɾ,eː,oː,t̪,ts,ə,˦,˨,ĩ,ã,n̪,ũ,ɨ,kʰ,x,pʰ,ʈ,ȵ,ɳ,ɪ,ɡb,kp,ʒ,ɣ,c,ʊ,kʷ,ɭ,d̪,tʰ,mb,ɟ,ȶ,ɔː,õ,ɛː,ɻ,˧,ẽ,nd,β,ɓ,ŋɡ,dz,ɗ,ɛ̃,ȴ,ɔ̃,q,kʼ,e̞,o̞,ɖ,l̪,ɑ,ɡʷ,χ,æ,ʂ,tsʰ,t̠ʃʰ,ɯ,tʼ,ɽ,t̠ʃʼ,˦˨,ɬ,n̠d̠ʒ,ð,pʼ
m,1.0,0.9084636614535418,0.8746543778801843,0.8764460897732531,0.8672811059907835,0.8509659613615456,0.824455766558592,0.8154130133825566,0.8362435110901368,0.7072155411655874,0.7093735280263778,0.6686831084225221,0.62430426716141,0.6565608716248224,0.6097447795823666,0.5993500464252554,0.5381750465549349,0.5194624652455978,0.45653184565318455,0.47844623401231645,0.43114055844770466,0.4175306314797361,0.3771106941838649,0.3635509628933772,0.35238987816307404,0.3549600376116596,0.35316336166194523,0.33553875236294894,0.3333333333333333,0.3254605573925366,0.2898961284230406,0.25908447380840016,0.2614657210401891,0.2380506091846298,0.2290977798771847,0.22579121398205007,0.22996680891417734,0.22490530303030304,0.22337908187411262,0.21482530689329557,0.21340887629839472,0.16892207186187588,0.16052263182454504,0.17702895111532985,0.1586335985025737,0.15939990623534928,0.17037387600567913,0.16745506149479658,0.16540284360189572,0.16397338403041825,0.14978601997146934,0.14591254752851712,0.14028436018957346,0.1353525792711784,0.13434247871333965,0.13770180436847104,0.13519924098671726,0.13002364066193853,0.13216485078162007,0.12370649106302917,0.13498098859315588,0.127134724857685,0.12132701421800948,0.11784193090392807,0.11678486997635934,0.12220637184973847,0.12007593735168486,0.10855263157894737,0.11806543385490754,0.12030432715168807,0.11352885525070956,0.10489181561618062,0.11137440758293839,0.11047889995258417,0.10900473933649289,0.10743019403691434,0.10683760683760683,0.09164292497625831,0.08117036337895234,0.08464098906324298,0.07557864903164856,0.07685009487666034,0.07386363636363637,0.07339015151515152,0.07240889730241364,0.07604562737642585,0.07315914489311164,0.06891634980988594,0.06335697399527186,0.06306306306306306,0.06069227121858701,0.06226235741444867,0.06175771971496437,0.061282660332541566,0.0584045584045584,0.055002370791844474,0.056505223171889836,0.055002370791844474,0.056505223171889836,0.053156146179401995,0.052256532066508314,0.05078310393925012,0.04928909952606635
i,0.9084636614535418,1.0,0.8664495114006515,0.8449469312413475,0.9299516908212561,0.8633161108501644,0.8064215914378781,0.817627754336615,0.7807710171853228,0.7045028142589118,0.6722846441947565,0.6452214452214452,0.6642512077294686,0.624940954180444,0.6435452793834296,0.5868852459016394,0.528,0.5176636834667923,0.45989558614143333,0.45213270142180095,0.42370441458733205,0.3893596986817326,0.3689966714217784,0.35588375416865176,0.3439429928741093,0.3529693486590038,0.3369823893384103,0.3242467718794835,0.3088930936613056,0.30967127203430206,0.2732032365540219,0.24928229665071772,0.24689589302769818,0.2451830443159923,0.21886973180076627,0.21726618705035972,0.22442084942084942,0.21052631578947367,0.21130809774796358,0.22254616132167152,0.22108843537414966,0.19648093841642228,0.18594436310395315,0.1727976766698935,0.1823069403714565,0.17338513841670714,0.15875299760191847,0.15193502150023888,0.15647568608570053,0.16060164968461912,0.15395894428152493,0.14327343370568238,0.1022993899577663,0.14132553606237816,0.14083820662768032,0.12451923076923077,0.1214594335093615,0.12759787336877718,0.10359508041627247,0.12929782082324456,0.13375486381322957,0.1192084942084942,0.11599806669888835,0.11838913148956817,0.11893203883495146,0.12561094819159335,0.1152542372881356,0.12457254518808011,0.11266924564796905,0.12037037037037036,0.11830574488802337,0.12023460410557185,0.1101407083939835,0.11084103062712689,0.10771470160116449,0.10825242718446602,0.10067763794772508,0.08624031007751938,0.0908203125,0.08699902248289346,0.08451392281387396,0.06394230769230769,0.06914893617021277,0.0733365711510442,0.07285089849441477,0.07135922330097087,0.07101167315175097,0.06511175898931001,0.06511175898931001,0.05301204819277108,0.06082725060827251,0.05830903790087463,0.058823529411764705,0.053217223028543786,0.05951219512195122,0.05140640155189137,0.05242718446601942,0.049878934624697335,0.0575609756097561,0.045454545454545456,0.05268292682926829,0.0470873786407767,0.046579330422125184
k,0.8746543778801843,0.8664495114006515,1.0,0.819321876451463,0.8281177020084073,0.8209934395501406,0.8929282868525896,0.7730032695002336,0.764456981664316,0.772069825436409,0.6537186167693037,0.6529242569511026,0.6259062348960851,0.6033412887828162,0.6138565891472868,0.5883765609990393,0.534658264663112,0.5181246979217013,0.4638318670576735,0.44595249636451767,0.43653558984569435,0.4054848188050931,0.3969046430354468,0.36139832594780896,0.3326867119301649,0.356401384083045,0.33725490196078434,0.32609768130241734,0.3173124080431584,0.31105651105651105,0.28035538005923,0.25185551707075704,0.2568306010928962,0.2513743128435782,0.23138430784607697,0.22911455727863933,0.24543610547667344,0.22941767068273092,0.224112056028014,0.22546552591847005,0.22334004024144868,0.19124308002013085,0.1869631126831733,0.15883226125680355,0.1772406847935549,0.1739567621920563,0.13404565322972317,0.16441779110444776,0.13551859099804306,0.17488561260803254,0.12703905091448345,0.12972166998011928,0.1368421052631579,0.14365199797673242,0.1437246963562753,0.1261845386533666,0.12693653173413294,0.14025316455696202,0.1282565130260521,0.13801820020222447,0.11884634510193934,0.12068102153229844,0.09807787087235091,0.12323232323232323,0.12209889001009082,0.13078880407124682,0.11883182275931521,0.12228398180899444,0.1150175791059769,0.10348258706467661,0.12089023773394031,0.11779575328614762,0.11690283400809717,0.10809451985922575,0.11437246963562753,0.11268317331985851,0.10256410256410256,0.09584178498985801,0.0884732052578362,0.08123107971745712,0.08139534883720931,0.07568113017154389,0.061285500747384154,0.06984924623115578,0.06880964339527876,0.0753667172483561,0.06959152798789713,0.06294058408862034,0.06670035371399696,0.05252626313156578,0.05636638147961751,0.06231003039513678,0.05482897384305835,0.0448654037886341,0.057663125948406675,0.04769076305220884,0.057244174265450865,0.0435,0.05885337392186707,0.04889112903225806,0.05592272496187087,0.046898638426626324,0.03903903903903904
j,0.8764460897732531,0.8449469312413475,0.819321876451463,1.0,0.8144186046511628,0.8039124359571496,0.7643223102002794,0.8626292466765141,0.7608286252354048,0.674550614947966,0.676144578313253,0.6271909047844624,0.6002865329512894,0.6187711659409773,0.5830152671755725,0.5715648854961832,0.5173243503368624,0.491654744873629,0.4482758620689655,0.4681166584280771,0.40420332355816224,0.4032416502946955,0.36989670437776684,0.3583415597235933,0.33610161211529066,0.3506429277942631,0.35276532137518685,0.33950926389584374,0.32786885245901637,0.3281640820410205,0.2898550724637681,0.2559880239520958,0.2559880239520958,0.2270935960591133,0.23227752639517346,0.22629202207727045,0.22887323943661972,0.22044088176352705,0.2182182182182182,0.22323232323232323,0.2204843592330979,0.17582417582417584,0.16975463194792187,0.17983789260385005,0.1619190404797601,0.16041979010494753,0.1627441161742614,0.15907953976988495,0.15805318615153036,0.1706571574121243,0.16137295081967212,0.1548288196218702,0.14350912778904665,0.14343845371312308,0.14292980671414038,0.13555892766818411,0.13232323232323231,0.13080808080808082,0.13539553752535496,0.1280241935483871,0.1442455242966752,0.12317011610297829,0.11699445284921836,0.11329305135951662,0.11666666666666667,0.13165983606557377,0.12245934959349593,0.11178247734138973,0.11860111505321845,0.12961065573770492,0.11997966446365023,0.10786290322580645,0.10696266397578204,0.0965965965965966,0.11342828077314344,0.10443995963673057,0.10101010101010101,0.09480122324159021,0.08961303462321792,0.09118852459016394,0.08303616912888435,0.07563451776649746,0.08010204081632653,0.06814740030287733,0.0649546827794562,0.07586558044806517,0.07770961145194274,0.06389452332657201,0.06768447837150127,0.065206316861946,0.05942102590147283,0.05894308943089431,0.06109979633401222,0.06005089058524173,0.05055611729019211,0.058703420112302195,0.0560081466395112,0.05978538579458355,0.05708460754332314,0.055640632976008166,0.053061224489795916,0.05094243504839532,0.05362614913176711
u,0.8672811059907835,0.9299516908212561,0.8281177020084073,0.8144186046511628,1.0,0.8228921337729628,0.772003745318352,0.7948717948717948,0.7373314737331473,0.6652542372881356,0.6698702546852475,0.6234626300851467,0.6484490398818316,0.6291423001949318,0.625,0.5829725829725829,0.529126213592233,0.488804192472606,0.45530043966780653,0.4688118811881188,0.4222001982160555,0.4038366945400885,0.3452611218568665,0.3615651312530956,0.3262135922330097,0.3674185463659148,0.3209936678032148,0.31431382193802265,0.2898550724637681,0.3293233082706767,0.2813121272365805,0.2526158445440957,0.2576288144072036,0.22140402552773686,0.2130822596630327,0.20662382600098864,0.23107971745711403,0.2002960039467193,0.2155,0.23041709053916581,0.2288911495422177,0.18917551846231664,0.17887822132390097,0.17831813576494426,0.19076923076923077,0.16415662650602408,0.16066066066066065,0.14952806756085443,0.16120906801007556,0.16556627729812087,0.1598360655737705,0.14801627670396744,0.1110014800197336,0.14775051124744376,0.14782608695652175,0.12719959778783307,0.12399598393574297,0.13157894736842105,0.0971540726202159,0.12198795180722892,0.1380539989811513,0.12449392712550607,0.11379657603222558,0.12138141188420518,0.12309257375381485,0.13012295081967212,0.11639676113360324,0.11589068825910931,0.11369378473976756,0.12404287901990811,0.12416964741951968,0.11477907567293043,0.1127475876079228,0.10672736469398078,0.11077235772357724,0.11133706151499746,0.10005053057099546,0.0893854748603352,0.09309462915601023,0.08965163934426229,0.08760245901639344,0.06224899598393574,0.06767676767676768,0.07367886178861789,0.07208121827411168,0.07433808553971487,0.07343192248852626,0.06615776081424936,0.06778797145769623,0.05401312468450278,0.060590631364562116,0.05741869918699187,0.05741869918699187,0.05209914011127972,0.055442522889114956,0.0496705524581855,0.05180294565769426,0.050202839756592295,0.06041986687147977,0.04292929292929293,0.05421994884910486,0.046747967479674794,0.04568527918781726
a,0.8509659613615456,0.8633161108501644,0.8209934395501406,0.8039124359571496,0.8228921337729628,1.0,0.7646782527007985,0.8064516129032258,0.7569872098531502,0.7000968992248062,0.6445610687022901,0.6163342830009497,0.6282491417361452,0.6076624636275461,0.6112745098039216,0.5384252710985384,0.47962085308056873,0.5019398642095053,0.4430317848410758,0.42808551992225463,0.40832507433102083,0.37117903930131,0.36269173676397826,0.3463631865413162,0.34997503744383424,0.3520280420630946,0.3306891422905305,0.36078229541945445,0.29891838741396265,0.30677290836653387,0.2623762376237624,0.24175824175824176,0.23681592039800994,0.2380473074987418,0.22531645569620254,0.21807168096920748,0.21084337349397592,0.19890329012961117,0.2063253012048193,0.2286742034943474,0.22713257965056527,0.19128205128205128,0.1967808930425753,0.1641337386018237,0.17520491803278687,0.17366803278688525,0.142643391521197,0.1401496259351621,0.13736263736263737,0.1619682214249103,0.16397709526288393,0.15074858027878163,0.13123092573753814,0.1469218830832902,0.14699792960662525,0.11256281407035176,0.12119675456389452,0.12252160650737164,0.12538226299694188,0.13295687885010268,0.13887454827052143,0.10251256281407035,0.11258278145695365,0.12719751809720786,0.10828673106253177,0.13378448724622594,0.11406649616368286,0.12332301341589268,0.10625317742755465,0.12993762993762994,0.12016503352243424,0.11816305469556243,0.11840744570837643,0.11282843894899536,0.11697722567287784,0.11697722567287784,0.09086294416243655,0.09632314862765406,0.08992248062015504,0.092660072878709,0.08380755302638386,0.06422018348623854,0.06919528446950282,0.06486210418794688,0.06109979633401222,0.06605222734254992,0.07283057851239669,0.018728437654016758,0.06711409395973154,0.0504844467108618,0.04050632911392405,0.05228088159917991,0.05228088159917991,0.052307692307692305,0.050282195997947664,0.054723799690242644,0.05363589479112945,0.05255023183925812,0.0612987012987013,0.048378795676788475,0.05555555555555555,0.04742268041237113,0.046343975283213185
p,0.824455766558592,0.8064215914378781,0.8929282868525896,0.7643223102002794,0.772003745318352,0.7646782527007985,1.0,0.7199812382739212,0.7240723120837298,0.7363083164300203,0.6360097323600973,0.6135148274185708,0.5772793759141882,0.5903495814869523,0.5680705190989226,0.5352657004830917,0.48581213307240706,0.4903513112320633,0.433,0.443601416287304,0.40020314880650076,0.363681592039801,0.3829015544041451,0.34558448187850943,0.32809330628803246,0.34102564102564104,0.33009211873080857,0.31975244971634864,0.29796954314720814,0.30606995884773663,0.2699639361154044,0.23254620123203285,0.2643496577145866,0.24868559411146163,0.22315348349921424,0.2220472440944882,0.24371993586317478,0.24064171122994651,0.214248297537978,0.20292123109024518,0.20198329853862212,0.19423692636072573,0.18716577540106952,0.16046145778710016,0.18002136752136752,0.1684322033898305,0.14656964656964658,0.16578389830508475,0.14345331246739698,0.18458197611292074,0.13569165786694826,0.1392136025504782,0.1395844432605221,0.1382808328884143,0.13351063829787235,0.11699895068205667,0.12130801687763713,0.14385775862068967,0.12985630654603514,0.13052743740010656,0.12699256110520724,0.11292875989445911,0.105318588730911,0.1161427810335642,0.11495476317189994,0.13997821350762527,0.11626666666666667,0.12654819601507808,0.11639081687132942,0.1099893730074389,0.11247334754797442,0.12297734627831715,0.10885805763073639,0.1054874800213106,0.11631663974151858,0.10737179487179487,0.10256410256410256,0.09306078536847767,0.08875739644970414,0.0868861305990286,0.08239095315024232,0.08387445887445888,0.05873015873015873,0.07009095773140717,0.06898395721925134,0.07481162540365985,0.06638115631691649,0.06501880709296078,0.05706666666666667,0.05389541088580576,0.05800214822771214,0.06724511930585683,0.05977382875605816,0.048507462686567165,0.062263129399025445,0.048179871520342615,0.05837837837837838,0.04204364023416711,0.05268817204301075,0.05456509994597515,0.05183585313174946,0.047337278106508875,0.04396782841823056
w,0.8154130133825566,0.817627754336615,0.7730032695002336,0.8626292466765141,0.7948717948717948,0.8064516129032258,0.7199812382739212,1.0,0.7340680402491615,0.6759803921568628,0.6536945812807882,0.594035594035594,0.5982187036120732,0.6084788029925187,0.5725528775209051,0.5365617433414044,0.482640586797066,0.47257590597453475,0.453760162601626,0.4447261663286004,0.39483020780537254,0.3700550826239359,0.3420654911838791,0.34923076923076923,0.3343542623787647,0.34953464322647365,0.3316221765913758,0.3343782654127482,0.2875882946518668,0.31499740529320186,0.2686952037132542,0.2433834976647639,0.2255754475703325,0.2185089974293059,0.22373949579831934,0.21686746987951808,0.2112676056338028,0.2025974025974026,0.21929362150764364,0.23842841765339073,0.2361484669176977,0.1783641160949868,0.17382087970323265,0.1713527851458886,0.165520888418826,0.1596417281348788,0.1487473903966597,0.13605794102431454,0.1426332288401254,0.16917293233082706,0.1720371381758602,0.15746753246753248,0.1326963906581741,0.1566068515497553,0.15732172019597168,0.116132422490804,0.12044374009508717,0.1296,0.12599681020733652,0.1345123258306538,0.14688346883468834,0.10504201680672269,0.1102863202545069,0.12124463519313304,0.11704970603955105,0.1403604587657018,0.12137486573576799,0.11366061899679829,0.11491181186531267,0.1381758601856909,0.12601406165494863,0.11010154997327633,0.11391724879097259,0.08604407135362015,0.12330255296034763,0.11123052122514777,0.10224839400428265,0.10282916213275299,0.09135135135135135,0.09721463681048607,0.08613217768147345,0.07016604177825388,0.07717215326497572,0.06004250797024442,0.05782493368700265,0.06809651474530831,0.0746349378042185,0.0544,0.07212581344902386,0.05516871987145153,0.05080213903743316,0.053111587982832616,0.05367686527106817,0.04919786096256684,0.04764453961456103,0.05796316359696641,0.05339805825242718,0.057390362750406064,0.06430517711171663,0.055284552845528454,0.055404671374253124,0.04859611231101512,0.05200433369447454
n,0.8362435110901368,0.7807710171853228,0.764456981664316,0.7608286252354048,0.7373314737331473,0.7569872098531502,0.7240723120837298,0.7340680402491615,1.0,0.8209277238403452,0.7627659574468085,0.6974571873378308,0.6031187122736419,0.5830845771144278,0.592929292929293,0.5518096182449181,0.4982456140350877,0.4962140333165068,0.52571737953438,0.5045576407506702,0.44634276561665776,0.4047991653625456,0.37729900157645824,0.36210526315789476,0.3376690946930281,0.35390295358649787,0.3356020942408377,0.325065963060686,0.3156790770844258,0.3055555555555556,0.30931744312026005,0.25560298826040556,0.2609860664523044,0.2578378378378378,0.2315562735595046,0.23376623376623376,0.15920651068158698,0.23814713896457765,0.21715817694369974,0.23726027397260274,0.2356164383561644,0.1761546723952739,0.17278617710583152,0.08466933867735471,0.16370490037695207,0.16208939149165322,0.15154749199573106,0.15380493033226153,0.1459112773917691,0.17317207256734468,0.1233974358974359,0.15993359158826784,0.1388888888888889,0.14947600661886376,0.14765840220385676,0.13282525857376157,0.12385073012439156,0.1351203501094092,0.1320240043644299,0.12901469787697334,0.1491130820399113,0.07849293563579278,0.14007782101167315,0.12969094922737306,0.12164383561643835,0.10183189655172414,0.12796469939327082,0.11877394636015326,0.12438084755090809,0.13958682300390843,0.12217941662080352,0.11758241758241758,0.1309192200557103,0.10704533042053523,0.12188365650969529,0.11878453038674033,0.11258278145695365,0.10652537646402677,0.08870523415977961,0.09648633575013943,0.0821842250413679,0.06947483588621445,0.06896551724137931,0.04664879356568365,0.04611260053619303,0.07205720572057206,0.05422993492407809,0.06497797356828194,0.06791827719491994,0.05589041095890411,0.05199781061850027,0.054365733113673806,0.064891846921797,0.057883131201764054,0.05570876999448428,0.06347438752783964,0.05758582502768549,0.05234159779614325,0.06406685236768803,0.05954368391764051,0.059085841694537344,0.04455445544554455,0.045129334067143645
t,0.7072155411655874,0.7045028142589118,0.772069825436409,0.674550614947966,0.6652542372881356,0.7000968992248062,0.7363083164300203,0.6759803921568628,0.8209277238403452,1.0,0.6476190476190476,0.6466487935656836,0.5655136268343816,0.5106382978723404,0.5506561679790026,0.5017939518195798,0.44732745199792423,0.4812433011789925,0.5704859028194361,0.4437673130193906,0.41671372106154714,0.3834628190899001,0.38978185993111364,0.3583617747440273,0.31942125765164164,0.35334476843910806,0.3010514665190924,0.298314606741573,0.3030474040632054,0.27419354838709675,0.2867092280905398,0.2423542989036353,0.246670526925304,0.25783560023654645,0.21549213744903903,0.21495327102803738,0.1,0.2414619532654284,0.2062937062937063,0.24727272727272728,0.24394673123486682,0.20679199514857488,0.2039072039072039,0.07848518111964874,0.18704600484261502,0.17951807228915662,0.10684002261164499,0.14612676056338028,0.10517339397384878,0.15256257449344457,0.1102683780630105,0.12790005948839978,0.12693682955899882,0.16728624535315986,0.16378244746600742,0.11831153388822829,0.12387791741472172,0.1460880195599022,0.12208258527827648,0.1482843137254902,0.12492492492492492,0.02477973568281938,0.11842900302114803,0.13942011104256632,0.1221142162818955,0.11413043478260869,0.12844036697247707,0.1417956656346749,0.12172854534388314,0.12461820403176542,0.12752912323727775,0.13630731102850063,0.14232209737827714,0.1092896174863388,0.12307692307692308,0.12654320987654322,0.1012734990903578,0.1019147621988882,0.1044776119402985,0.0968944099378882,0.09440993788819876,0.07668711656441718,0.06500607533414338,0.041617122473246136,0.045997610513739545,0.04293381037567084,0.05123568414707655,0.05474452554744526,0.07568238213399504,0.05048661800486618,0.04553734061930783,0.04942037827943868,0.05263157894736842,0.039927404718693285,0.05541871921182266,0.0640945861854387,0.042682926829268296,0.049079754601226995,0.06875,0.058385093167701865,0.06316447779862414,0.04041641151255358,0.044253226797787336
