,m,i,k,j,u,a,p,w,n,t,l,s,e,ŋ,o,b,ɡ,h,d,r,ɲ,f,t̠ʃ,ɛ,ʔ,ɔ,iː,aː,ʃ,uː,z,d̠ʒ,v,ɾ,eː,oː,t̪,ts,ə,˦,˨,ĩ,ã,n̪,ũ,ɨ,kʰ,x,pʰ,ʈ,ȵ,ɳ,ɪ,ɡb,kp,ʒ,ɣ,c,ʊ,kʷ,ɭ,d̪,tʰ,mb,ɟ,ȶ,ɔː,õ,ɛː,ɻ,˧,ẽ,nd,β,ɓ,ŋɡ,dz,ɗ,ɛ̃,ȴ,ɔ̃,q,kʼ,e̞,o̞,ɖ,l̪,ɑ,ɡʷ,χ,æ,ʂ,tsʰ,t̠ʃʰ,ɯ,tʼ,ɽ,t̠ʃʼ,˦˨,ɬ,n̠d̠ʒ,ð,pʼ
m,1.0,-0.02542661473729766,-0.00930271076242536,0.06286700608229931,-0.013487312332489497,-0.05201110050847643,0.03931923688088058,-0.017985842522848475,0.09245351187412139,-0.03290963486853526,0.0060016667801850885,0.020550932711722765,-0.03231516650688954,0.045999979102265345,-0.032595407769530294,-0.03138607057154511,-0.024168063772983847,0.0746155478494476,-0.06873099767212162,-0.020286240067132366,-0.04762808595610418,0.05882851738875189,-0.005537849085782524,0.004437001312080939,-0.02516362515029205,0.011359276876311546,0.05667950555406007,0.060985065711525,0.04981931714929684,0.05230582926339532,0.034351713838015746,0.017198491862057682,0.04048293316978051,-0.07637401229921836,0.016636690558250213,0.015286961992083523,0.06393893339548139,0.044414162738823704,0.03792148660830898,0.0047598905038673195,0.0041453086666841995,0.023700414268327787,0.020084659086690916,0.058315373523871984,0.058450114602786846,0.08512960709182814,0.016391492600018254,0.008503981000971942,0.03410429169347568,0.07403358429625145,0.07665206938468787,0.06833171079621055,0.023332367790655093,-0.0005200411875735456,-0.008226321677020627,0.05106319648999042,0.03551112779216919,-0.017889403728260363,0.012280983803376567,-0.10126082096268466,0.06476498687864644,0.032041940095699314,0.014274002707964153,-0.010333793213897883,-0.02609708380866956,0.06818217766572657,0.03654965944161889,0.1085710973276874,0.020271310925234556,0.06757910132633847,-0.020609229152386065,-0.11886183827995589,0.00908037092926182,0.01647094852241617,0.007789621339099651,-0.016787782286633808,0.038740556457187575,0.03187409772048017,-0.08805409981275975,0.055610148259088166,-0.07680759003339167,0.00577661496945752,-0.03340293815852294,-0.0338206383916783,-0.043936373021742026,0.04291389732291481,0.03198945053264968,0.03976424627389328,-0.07244950034387489,-0.013952747668736542,-0.01597413463989781,0.03665475742255296,0.025962967589915526,0.025695537267063445,0.01340812320224258,-0.02115859839067874,0.012124131800731094,-0.02115859839067874,0.012124131800731094,-0.0012321634775650727,0.020298921281218876,-0.003203847885803404,-0.03800371310797415
i,-0.02542661473729766,1.0,0.09431971707872858,-0.0279626183815469,0.013228821381443727,0.009934637425774571,0.035712676375341534,-0.0410294917885143,-0.0009125611086453157,0.03873547678688627,0.004945102303561531,-0.04329120035772007,-0.002652013118502157,0.04962976386160186,-0.03460335399074103,-0.03519718438014097,-0.02826464493137381,-0.02623379778599855,0.0020773877594326734,-0.01236529266075112,-0.05138983829447636,0.024330944509095863,-0.028858576847774688,-0.020935075866072513,-0.04937450268805516,0.01836020809053544,-0.038263449322594664,-0.007434745449178751,0.021388382909626392,-0.045612548259540336,0.05430290171650202,-0.04530973392267138,-0.06299951252063189,0.009887632134166883,-0.05621665177539032,-0.0445298580705635,0.015463662473196114,0.07009059496775659,-0.05698465811374046,-0.06614847688520883,-0.06714880258742278,-0.030482663970133047,-0.05176032172366548,0.012925923962539535,-0.04030377391723967,0.04699418188652521,0.06824735520084309,0.025551799666304838,-0.05101040180782315,0.030069560094480738,-0.062263699722299136,0.030041630332316882,-0.03731585541137561,0.0660837392418188,0.0658396657804984,0.0773791655313014,0.0595786209655711,-0.03354438441412291,0.05375844429501532,-0.010981769182090413,0.04038450835858137,-0.05672428020566908,-0.0433499462588365,0.0028343390179179444,0.008822224166451387,-0.08870091812508261,-0.021906028898848455,0.08602430159377404,-0.04078575911384641,0.05513608373736523,0.04246146744822048,0.08999279917573468,-0.0033444260582601365,0.020330349904834483,-0.005234359190535017,0.000989665726735036,-0.04038341811364593,-0.04260444133840519,0.06371256566510448,0.07523693945427685,0.06716371664539765,0.04439523189021835,-0.08893919411988462,-0.02352056440394752,-0.024026793428084427,-0.03245638852260392,-0.005112098822862872,-0.025401677435446513,-0.025401677435446513,0.0747082947768185,-0.008021442921761336,-0.03341705483748153,-0.02529423185643151,-0.10738912448217013,0.02928520524588456,-0.0734246819889718,-0.05656752773617557,-0.09871041336816615,0.02771824352780556,0.1298807045997628,0.023616346892619648,-0.06493754577369863,-0.07375032484339852
k,-0.00930271076242536,0.09431971707872858,1.0,0.0065385704904333325,0.0659898141671021,-0.06201689177345326,0.06227901033603098,0.006575198129133379,0.04615920804306491,-0.02268690396204875,0.006689610656723778,-0.024386871221155203,0.004988537897771662,0.016739776005089135,0.010727660710861993,0.04194000251213397,-0.036414596574558575,0.03126564243172203,-0.03496701305365136,0.0022170782653608318,-0.046925476151511616,0.03388847008014944,0.04043571752553685,0.037277604404955936,0.029260378614472147,-0.04075347917815554,-0.0033010072506333733,0.026729986484606467,-0.013484245730272447,-0.006084777395893939,-2.6764302932014254e-05,-0.004299063916776357,0.024037969276424254,-0.04983623743142423,0.045758080940408626,0.050891826093598255,0.038985200577400264,-0.03803669518884403,0.047638619012772436,-0.02469380652901729,-0.0296343894841347,-0.05257037198589242,-0.028037462875631622,0.043801033520776377,-0.061602158272020605,0.049103347485467075,0.008735479058197696,-0.0025233335102203894,-0.060296849046402104,0.006085412350755267,0.011750397542887982,0.05784461014100734,-0.0027768657747312448,-0.06077382419334644,-0.056763854814580406,-0.05272443606285649,-0.036005634721297294,-0.056398263062222856,-0.01455146478425803,0.06771735724989116,0.054103447935126,-0.02591828745379644,-0.03992527382356187,0.04850839071022764,0.03891647302333088,-0.02500907621325652,0.018865720149906392,0.052171664240990026,-0.006148656735634154,0.04675480024300794,0.05998648053770505,0.05323219877195322,0.061578248876517735,-0.004097115310789689,0.059727193330391726,0.044771912824818585,-0.009591597842178624,0.06512632006989921,0.02890897159480349,0.0014739616466920042,0.0221713577203635,-0.004705506870316587,0.02415399789860696,-0.053520360234822505,-0.060142584154345174,0.021428625776533896,-0.017296509926710724,-0.042476404303647325,0.0009756165394121816,0.060943286913510725,-0.0581847242264681,0.02472011868964727,-0.0663628150018639,0.011885023188408225,0.0014484170670846829,0.10090856209254372,0.019104560209244427,0.04690203657735584,0.03935700727743988,-0.053589349153783765,0.0622759938023711,-0.05108034302862416,0.055628170610140075
j,0.06286700608229931,-0.0279626183815469,0.0065385704904333325,1.0,0.013023276021874764,0.01292986219893805,-0.02499024009332315,-0.0454834023844299,0.047643131025630836,0.0050080902935779464,0.013119457636750364,-0.020574350771149212,0.006358977129224304,-0.005098518321009367,-0.010581470838209626,-0.018205803515062426,-0.007200093347102924,0.018742680069992364,-0.002939808740977123,0.011142891518335724,0.0024756946261885225,0.02811104848860082,0.014778422477714487,0.026198726900654456,-0.04536410166355734,0.03214788197344471,-0.020833403998508495,-0.002219126014514357,0.04247629469324824,-0.015360648416644912,-0.04793029992781733,0.021253384114289484,0.021253384114289484,0.02663531782049722,0.05168491687005734,0.03487677398023474,0.05261888673506191,0.021176705072080994,0.01317470645427648,-0.03577713910430582,-0.04436500068949196,-0.03358101697062745,-0.021701731577904664,-0.053180006357861104,-0.042547010253119216,-0.04392686736411354,-0.027824296039263292,-0.03815385585607101,-0.017795782147802742,-0.022745425752031905,0.00992332582755126,-0.014801654175702273,0.04888555119591071,-0.060201769771479924,-0.060742444786730763,0.022868317263567955,0.008244926044502008,0.006901101806071784,0.04265538163943417,-0.011453056208369667,-0.01694146611161072,-0.00409557779610086,-0.018216375275281523,-0.03427091261746163,-0.006249805707793605,-0.0171585806576545,0.04899498332366405,-0.035893747974233385,0.024684282379790822,-0.019218342497444856,0.05130991824663397,-0.03188568176363139,-0.02447519966600462,0.04217712716091189,0.050471056838901636,-0.02719868833892719,-0.022365307786522168,0.05375656701273803,0.03957937684125136,-0.0650807707556734,0.038536942918058606,-0.004595159050300001,0.05133094566800434,-0.06941884155104128,0.07409176937094934,0.026423843485191164,0.07069064283098192,-0.03004542253160077,0.012267066004026349,0.020462828573016092,-0.02016797470800337,-0.015279266264356932,0.010061955832625296,0.003085444212246219,-0.08436408125164631,0.03654245554955542,0.0036735801875214446,0.049690005694369016,0.016821130332335038,0.03326310104490908,0.024156468638576428,0.002931315355257476,0.037298460899655474
u,-0.013487312332489497,0.013228821381443727,0.0659898141671021,0.013023276021874764,1.0,-0.017384288456247957,0.018762135574425194,0.016019891303324776,0.05750787277593891,-0.03162106012782276,-0.009609788755113926,-0.033217931774828895,0.011635404894170188,0.03855313042145323,-0.027164643987535892,0.030914412162605726,0.043195850662914405,0.008440188279096103,0.0284534927867082,0.015306378321109542,-0.009247577859906016,0.03175202786585856,-0.006136245031529277,0.041956380348930525,0.0025062447702080617,0.016142508255551916,0.01800212345132026,-0.02737541124866921,0.04615364428318278,-0.0089398301754769,0.008679693723443814,0.003225722476848823,0.03065775807869753,-0.005760289042432377,0.04711034599269571,0.026750710720839642,-0.04278801869535195,0.009429760845792801,-0.0025988544616257193,0.006987869491874127,0.005858085465922115,0.053989144798374376,0.03966912462455765,0.05691897583759413,0.031090600675074555,-0.017615551706730057,-0.04162772993632576,0.016877322337191993,0.004624567249128747,-0.057652308179206364,-0.0010976515531989192,-0.06463902414869094,0.06011986607798599,-0.02736076279575975,-0.023466235161811497,-0.041551812864788186,-0.05638796902654787,0.013061726181901226,0.005221015139459346,-0.0585775523438959,-0.06411013118229485,0.006714310341600121,-0.0441101710419385,0.03258701384459257,0.046515385898380314,-0.02938254811062329,-0.000884152449521852,-0.0013724310304362845,-0.01588493922327365,-0.06437152059386839,-0.056163052262245154,0.02688537808331854,0.025083209310063245,-0.014749206667525655,0.027622425198090956,0.03244831016244631,-0.030508750000653104,0.002345777335888979,0.07284153536878989,-0.07980992147459091,-0.08295430128721719,0.02563645681549069,-0.0783012824921823,-0.010772601772724632,-0.02282101983988971,0.010312740739865245,0.02490726930455878,-0.0046228750866507155,0.013404680806811575,0.07757670348892833,-0.006386235628952211,-0.03293790727178761,-0.03293790727178761,-0.09059998933146782,-0.024818807443299545,-0.07367133929111984,-0.047530477603801975,-0.06713612386929037,0.05703296914546945,0.0750795927663388,0.03867379320054945,-0.050705080872084515,-0.0643713044402589
a,-0.05201110050847643,0.009934637425774571,-0.06201689177345326,0.01292986219893805,-0.017384288456247957,1.0,0.028160141027430557,-0.00651299645364982,-0.039516063730848226,0.041749904700902875,0.011950258056284193,-0.03438189874465587,-0.04261253999509068,-0.023102307484189524,0.03239565398178457,-0.037077681837815415,0.034412547180272444,-0.009138431292869231,-0.00943445198432939,0.035548964453124325,0.03160684780574731,-0.011095886982231684,-0.007004134561535637,-0.01852042400995933,0.02904832854063759,-0.044193447769084994,-0.019720111830814836,0.007556900062176326,0.004886605007000221,-0.014106640336067188,0.015218592209588652,-0.04819408825014638,0.023882139315903307,-0.009386486318410584,0.015214334718180284,-0.008005395790073108,-0.04601079396207824,0.006309120856090375,-0.04994369115015084,-0.0001372227871879354,-0.0013610256680629809,-0.04420952032193063,0.037038284550728426,-0.033298359200868904,0.0481892783224737,0.04700693046750759,-0.04002248434018699,-0.042480646939562695,-0.035394084904080116,0.041208359244563536,0.027597934071826744,-0.04108638412767358,-0.03917429809334574,-0.030966901143326647,-0.02732651481300333,-0.019029845671068996,0.05507995813800128,-0.05222027280082945,-0.03110784412582576,0.027552897762147973,-0.05386628774245997,-0.02972035897291242,-0.049002633806654726,-0.05632768422439433,0.06384236789679454,-2.0345210065034725e-06,-0.01718966798394784,0.05764980912060408,0.062191873105306675,-0.015463427055405142,0.051052044250784065,0.05336970666918611,-0.06706944499346325,0.03659108212672209,-0.06120048930383075,-0.06120048930383075,0.036557766242712425,0.06472359116750709,0.04084333050589211,-0.048266667414195406,0.04419903315834522,0.04663314492220019,-0.0575572177802061,0.0667694110180902,0.03375550576771481,-0.07168567829403556,0.018172992829494576,-0.0030706310859773722,0.006335473026965279,0.037433224590282976,-0.048613530431407655,-0.08697625051719853,-0.08697625051719853,-0.0819833668478524,-0.0809592267713892,-0.010577706375818277,-0.022999233129072767,-0.035420759882327256,0.06395145414370866,-0.05346441451563499,0.05253934209848146,-0.038912487599392066,-0.051900227919397766
p,0.03931923688088058,0.035712676375341534,0.06227901033603098,-0.02499024009332315,0.018762135574425194,0.028160141027430557,1.0,-0.034327221968062704,0.044225959587677124,-0.023786258545334737,-0.02953427957412593,0.029119910978445768,0.009493177242704142,-0.019269803841249177,0.019473419235153503,0.015112525156835446,0.02487579923732292,-0.0031746031746031746,-0.007763333985113103,-0.030579292845330324,0.027938743125743657,-0.006358500726100782,0.015723856121667542,0.005249994873054385,-0.036012901525860154,0.020378074100145672,0.0032326923305633923,0.02678686216731182,0.02359263776536102,0.0049900637215520025,-0.01875862908197062,0.018472097981367844,-0.013961531108583395,-0.034887598775364084,0.014959374545190926,0.023827586870396184,0.035127049756227886,0.03502157451714558,0.007048303773245309,-0.02326001761832219,-0.02167635037090446,-0.017301776070972733,-0.013670915466243064,-0.04044434664152043,-0.026317658534597527,0.01958332019903821,-0.00023534666905865022,0.017043286099345172,0.01622718574509862,-0.042131776970340484,-0.03158718850609264,0.007715751541195173,0.0231920399646889,0.0341507343352139,0.007741097058124837,0.021872324539096932,-0.054696700702286105,-0.019726853316408083,0.006896491417343083,0.01381341960489623,-0.005510141850409646,0.052630707639568355,0.03188341173555596,-0.0020764481864850746,-0.009893664888546531,0.03936881310891657,0.004534514456236683,-0.0436742423674044,0.011190274382079392,-0.025541921070133203,-0.0030954293544605076,-0.03869179170322388,-0.0007548287760861248,-0.01479977853625305,-0.057229498785701126,0.004189710142082518,-0.0015497172314600813,0.03371027623269069,0.028719453302882832,0.049934588056687636,0.028872982345285677,0.06701336925802016,0.009078968483215087,-0.035359751685172025,-0.041018528191081885,0.015261739144951202,-0.037409763115904195,-0.01106640879072812,0.07047163513961151,0.07161486800154944,-0.02665433564260855,0.0669402098562857,-0.001988323065038189,0.05633119558695499,0.04707775111365225,-0.07117923595052887,0.02785274450238086,0.03400178904030663,-0.02716502241590232,0.017606397834376918,0.008592321037107786,-0.03253794893451358,-0.06705334227941197
w,-0.017985842522848475,-0.0410294917885143,0.006575198129133379,-0.0454834023844299,0.016019891303324776,-0.00651299645364982,-0.034327221968062704,1.0,-0.008658702974839337,0.035858845591300585,0.03525917705258574,-0.034767119375108235,0.0044397314514951144,-0.03466498311695984,0.037938854676307046,0.02300320638970861,0.016530288457513986,0.014061939958976566,-0.009609676982486819,-0.024499892574728416,0.010243574510096132,0.019409573253700386,0.021194362266108085,0.02045357639448558,-0.010111301587493503,-0.025218114429096685,0.010473152887083618,0.00403991480632751,-0.017560274925610166,-0.03943819979130196,-0.02296257999250702,-0.01842475742804384,-0.012347792126460129,0.004590306263239127,0.018302467025274206,1.658723247221829e-05,-0.02454051528692109,0.0388908056280688,0.03157142615978215,-0.03888479149272481,-0.04349751177426257,-0.0008552012725178482,0.01611386524609615,0.019190409367318768,-0.002876704635128432,-0.027923619269699454,0.012661211118539725,-0.047185905206005484,0.012110866012578833,-0.02153890208583803,-0.03680507159267943,0.0061904770972763725,-0.018025953832653877,0.03234294194256573,0.03915709905952103,0.016852593331695292,0.052185139698437896,0.00558946057353196,-0.016720535527976223,0.038521913939297,0.003984749667951112,0.0015239117103243588,-0.05134338230796748,0.03133200721772664,0.00413367508457498,0.04143802875114264,0.03799814742457453,-0.009418234720026165,0.0016808312680548115,0.03923156841528742,-0.03277845816759848,-0.00396241360475008,0.03349039796268749,-0.028124394385487923,-0.010265659644592875,0.030596528519456438,-0.00349643422654135,-0.026554941249235967,0.048397465305400456,-0.00870497966331531,0.058389082615409545,-0.045009976593257665,0.019773829871031327,0.02440032207698719,0.0093724521859945,-0.040731760490121734,0.03284015561669172,0.046596730366966516,0.051034073998777636,-0.07183654396539702,0.06470689800577652,-0.06362764899385911,-0.0583568341541059,0.0628796389558559,0.07054033164857562,0.02375187799922589,-0.020001846044215836,0.018282662493795676,-0.08080665372223411,0.02459573564456409,0.04417279347521137,-0.019449801220235697,0.01486131953795877
n,0.09245351187412139,-0.0009125611086453157,0.04615920804306491,0.047643131025630836,0.05750787277593891,-0.039516063730848226,0.044225959587677124,-0.008658702974839337,1.0,0.01711628865630902,-0.0015912571425448028,0.012785745720099577,-0.027015251880893088,-0.0088957399292041,-0.02152197340405271,0.025411715365583364,0.017259352665228166,-0.03234576857427173,0.010069390183808207,0.034084835887027404,-0.02704723290511053,0.005485287499589337,0.008431634418601106,0.0013182526365692834,0.014048020963161788,0.001965718452322473,0.03535011907100085,-0.020902134536471387,0.02438642262800031,0.01373800091001816,-0.01609993366456702,0.040375405168632514,-0.0201902194403921,0.011099450339873685,-0.028963200528810507,-0.006858831419572479,-0.00027983081815169115,0.02651306526145858,0.025861413230518777,-0.03918335300662601,-0.0408388050488091,-0.007176784272186417,0.014079567915626775,0.031122273671297,-0.007935008334416759,-0.009670088910139468,0.032253212707573316,-0.04150731753688041,0.03438932491845843,0.001895075099108066,0.007796560198237842,0.01998175232858973,0.020903142683360274,-0.008188845974233493,-0.01584018035111878,0.011411588714397448,-0.032819031877542496,0.03964930575285511,0.02190854055335422,0.007093756517734078,0.016727186723228815,-0.051057374579668934,0.021279890704897837,-0.02942262939563976,0.034043556597456705,0.029548850351601635,-0.03456825700702297,0.02476955453249259,-0.050947520958768554,0.04492529986579698,-0.05397914085595954,0.0449824519081277,0.02303896845688318,-0.0014751728018393725,-0.018723819977118146,-0.037993131493486425,-0.05277725606891862,-0.0007092307677457724,0.027871277014151187,-0.014801241177361925,0.026672434655098543,-0.04610680859650482,-0.04344436332710031,0.05675005577928189,0.05609649304361932,-0.005927413610839628,0.008999909186522504,-0.009438863424932378,0.01455525668330694,-0.05997253988594291,0.07497033972360999,-0.047596114234905854,0.04293635479932066,-0.013333213563442371,-0.013021091351863535,0.07177908868700633,0.019590069379693525,-0.02738004799688801,0.07699799061773761,0.062442697340632694,0.0759119426924095,-0.05570145342013336,-0.05024465697486907
t,-0.03290963486853526,0.03873547678688627,-0.02268690396204875,0.0050080902935779464,-0.03162106012782276,0.041749904700902875,-0.023786258545334737,0.035858845591300585,0.01711628865630902,1.0,-0.022868238879573594,0.007255983963728554,-0.004744545522113804,-0.020085215755567664,-0.01737042918177228,-0.0007747328769070682,-0.030101754745407765,0.02006308785597309,-0.023828298668012626,-0.0044607077662198215,0.011808865529718606,0.0009070200275208993,0.02311812156260739,-0.030174476767508025,0.005568855695291835,-0.023169551259939813,-0.027807179561291397,0.007402980210055855,0.023808715909583757,0.02231226581552107,0.011074266994202131,0.018114675762976547,0.0322766641918042,0.03004143341009953,0.014376278915076621,0.022138238089844345,0.028184248579968645,-0.026000235899155507,0.005598053736893859,0.011991613119706054,0.004934762040604808,-0.03361659529168972,-0.017565241609329648,-0.03187260611073449,0.01832820985842803,-0.0058842683760324645,0.025714556638117777,0.03530911946167008,-0.04075021018575385,0.009894480514791146,-0.031655160160490796,-0.02901130449495612,-0.024281744100183415,-0.018866885601234222,-0.03180273126193029,-0.04494604484613313,-0.014116314266228364,-0.001725947286252908,-0.016657921202499565,0.009695390542878369,3.947079963668392e-05,-0.011377054463531254,0.012914932299016597,0.02195372595205672,0.03830886993132509,0.004638918713581898,-0.02459746860454544,0.03873283819617116,0.04474260221877465,-0.034711852996310334,-0.017144922110778508,0.033846729754160594,-0.02910417129175413,0.01847681499539348,-0.010215954327603216,0.00639336771129741,0.0020621595472205614,-0.02947657270523542,0.0025188476734428343,-0.015173595198275436,-0.019455655841878215,0.012156321821895705,-0.05243755311663199,0.04136395523251749,-0.04653168877685686,0.058279501652565076,0.005102866302960666,0.05613008155767473,-0.06066185189205215,0.04942219386557822,0.03154300796023268,0.06410482660788105,-0.04478731048437239,0.002247346796249025,-0.00864984634765458,0.06282973579858397,0.049863557102587705,-0.040635077877631175,-0.04116430966114123,0.0430515722250315,-0.05083099023509686,-0.07057881434357374,-0.042357664029054
