Phoneme,language_count,segment_class,is_click,is_tone,is_nasal,frequency_pct,rank
m,2103,consonant,False,False,True,96.65,1
i,2046,vowel,False,False,False,94.03,2
k,1965,consonant,False,False,False,90.3,3
j,1952,consonant,False,False,False,89.71,4
u,1949,vowel,False,False,False,89.57,5
a,1921,vowel,False,False,False,88.28,6
p,1836,consonant,False,False,False,84.38,7
w,1831,consonant,False,False,False,84.15,8
n,1788,consonant,False,False,True,82.17,9
t,1588,consonant,False,False,False,72.98,10
l,1526,consonant,False,False,False,70.13,11
s,1483,consonant,False,False,False,68.15,12
e,1399,vowel,False,False,False,64.29,13
ŋ,1394,consonant,False,False,True,64.06,14
o,1366,vowel,False,False,False,62.78,15
b,1342,consonant,False,False,False,61.67,16
ɡ,1201,consonant,False,False,False,55.19,17
h,1176,consonant,False,False,False,54.04,18
d,1030,consonant,False,False,False,47.33,19
r,1018,consonant,False,False,False,46.78,20
ɲ,921,consonant,False,False,True,42.33,21
f,905,consonant,False,False,False,41.59,22
t̠ʃ,833,consonant,False,False,False,38.28,23
ɛ,800,vowel,False,False,False,36.76,24
ʔ,783,consonant,False,False,False,35.98,25
ɔ,779,vowel,False,False,False,35.8,26
iː,763,vowel,False,False,False,35.06,27
aː,723,vowel,False,False,False,33.23,28
ʃ,721,consonant,False,False,False,33.13,29
uː,703,vowel,False,False,False,32.31,30
z,629,consonant,False,False,False,28.91,31
d̠ʒ,565,consonant,False,False,False,25.97,32
v,565,consonant,False,False,False,25.97,33
ɾ,539,consonant,False,False,False,24.77,34
eː,499,vowel,False,False,False,22.93,35
oː,492,vowel,False,False,False,22.61,36
t̪,491,consonant,False,False,False,22.56,37
ts,484,consonant,False,False,False,22.24,38
ə,482,vowel,False,False,False,22.15,39
˦,470,tone,False,True,False,21.6,40
˨,467,tone,False,True,False,21.46,41
ĩ,402,vowel,False,False,True,18.47,42
ã,384,vowel,False,False,True,17.65,43
n̪,377,consonant,False,False,True,17.33,44
ũ,373,vowel,False,False,True,17.14,45
ɨ,370,vowel,False,False,False,17.0,46
kʰ,370,consonant,False,False,False,17.0,47
x,365,consonant,False,False,False,16.77,48
pʰ,356,consonant,False,False,False,16.36,49
ʈ,346,consonant,False,False,False,15.9,50
ȵ,315,consonant,False,False,True,14.48,51
ɳ,308,consonant,False,False,True,14.15,52
ɪ,303,vowel,False,False,False,13.92,53
ɡb,296,consonant,False,False,False,13.6,54
kp,295,consonant,False,False,False,13.56,55
ʒ,293,consonant,False,False,False,13.47,56
ɣ,290,consonant,False,False,False,13.33,57
c,287,consonant,False,False,False,13.19,58
ʊ,287,vowel,False,False,False,13.19,59
kʷ,286,consonant,False,False,False,13.14,60
ɭ,285,consonant,False,False,False,13.1,61
d̪,273,consonant,False,False,False,12.55,62
tʰ,263,consonant,False,False,False,12.09,63
mb,259,consonant,False,False,False,11.9,64
ɟ,259,consonant,False,False,False,11.9,65
ȶ,257,consonant,False,False,False,11.81,66
ɔː,257,vowel,False,False,False,11.81,67
õ,256,vowel,False,False,True,11.76,68
ɛː,255,vowel,False,False,False,11.72,69
ɻ,253,consonant,False,False,False,11.63,70
˧,251,tone,False,True,False,11.53,71
ẽ,246,vowel,False,False,True,11.31,72
nd,242,consonant,False,False,False,11.12,73
β,239,consonant,False,False,False,10.98,74
ɓ,237,consonant,False,False,False,10.89,75
ŋɡ,237,consonant,False,False,False,10.89,76
dz,228,consonant,False,False,False,10.48,77
ɗ,196,consonant,False,False,False,9.01,78
ɛ̃,188,vowel,False,False,True,8.64,79
ȴ,178,consonant,False,False,False,8.18,80
ɔ̃,174,vowel,False,False,True,8.0,81
q,167,consonant,False,False,False,7.67,82
kʼ,165,consonant,False,False,False,7.58,83
e̞,164,vowel,False,False,False,7.54,84
o̞,163,vowel,False,False,False,7.49,85
ɖ,161,consonant,False,False,False,7.4,86
l̪,156,consonant,False,False,False,7.17,87
ɑ,146,vowel,False,False,False,6.71,88
ɡʷ,146,consonant,False,False,False,6.71,89
χ,139,consonant,False,False,False,6.39,90
æ,134,vowel,False,False,False,6.16,91
ʂ,132,consonant,False,False,False,6.07,92
tsʰ,132,consonant,False,False,False,6.07,93
t̠ʃʰ,131,consonant,False,False,False,6.02,94
ɯ,126,vowel,False,False,False,5.79,95
tʼ,122,consonant,False,False,False,5.61,96
ɽ,122,consonant,False,False,False,5.61,97
t̠ʃʼ,122,consonant,False,False,False,5.61,98
˦˨,122,tone,False,True,False,5.61,99
ɬ,116,consonant,False,False,False,5.33,100
n̠d̠ʒ,112,consonant,False,False,False,5.15,101
ð,111,consonant,False,False,False,5.1,102
pʼ,111,consonant,False,False,False,5.1,103
y,107,vowel,False,False,False,4.92,104
t̪ʰ,106,consonant,False,False,False,4.87,105
ɸ,106,consonant,False,False,False,4.87,106
ŋʷ,105,consonant,False,False,True,4.83,107
˨˦,101,tone,False,True,False,4.64,108
ɨ̃,99,vowel,False,False,True,4.55,109
n̺,98,consonant,False,False,True,4.5,110
r̺,98,consonant,False,False,False,4.5,111
ʌ,97,vowel,False,False,False,4.46,112
əː,95,vowel,False,False,False,4.37,113
l̺,95,consonant,False,False,False,4.37,114
ʁ,92,consonant,False,False,False,4.23,115
ç,92,consonant,False,False,False,4.23,116
tsʼ,90,consonant,False,False,False,4.14,117
cç,85,consonant,False,False,False,3.91,118
tɕ,85,consonant,False,False,False,3.91,119
mː,83,consonant,False,False,True,3.81,120
ɹ̺,82,consonant,False,False,False,3.77,121
ʎ,81,consonant,False,False,False,3.72,122
nː,79,consonant,False,False,True,3.63,123
ŋmɡb,78,consonant,False,False,False,3.58,124
ɑː,78,vowel,False,False,False,3.58,125
ɪː,78,vowel,False,False,False,3.58,126
t̺,77,consonant,False,False,False,3.54,127
ɕ,76,consonant,False,False,False,3.49,128
ʊː,76,vowel,False,False,False,3.49,129
ɟʝ,76,consonant,False,False,False,3.49,130
ʈʰ,75,consonant,False,False,False,3.45,131
ĩː,75,vowel,False,False,True,3.45,132
ɪ̃,74,vowel,False,False,True,3.4,133
θ,74,consonant,False,False,False,3.4,134
kː,74,consonant,False,False,False,3.4,135
ai,74,vowel,False,False,False,3.4,136
kʲ,73,consonant,False,False,False,3.35,137
ɨː,73,vowel,False,False,False,3.35,138
lː,73,consonant,False,False,False,3.35,139
s̪,72,consonant,False,False,False,3.31,140
ũː,72,vowel,False,False,True,3.31,141
k͉,70,consonant,False,False,False,3.22,142
ŋm,70,consonant,False,False,True,3.22,143
p͉,69,consonant,False,False,False,3.17,144
ɦ,68,consonant,False,False,False,3.12,145
˥,67,tone,False,True,False,3.08,146
ʈʂ,66,consonant,False,False,False,3.03,147
t̪|t,66,consonant,False,False,False,3.03,148
ʊ̃,66,vowel,False,False,True,3.03,149
ãː,65,vowel,False,False,True,2.99,150
n̪|n,65,consonant,False,False,True,2.99,151
ʐ,64,consonant,False,False,False,2.94,152
k͈,63,consonant,False,False,False,2.9,153
˥˩,63,tone,False,True,False,2.9,154
p͈,63,consonant,False,False,False,2.9,155
tʲ,62,consonant,False,False,False,2.85,156
au,62,vowel,False,False,False,2.85,157
sː,60,consonant,False,False,False,2.76,158
ndz,59,consonant,False,False,False,2.71,159
cʰ,59,consonant,False,False,False,2.71,160
ə̃,59,vowel,False,False,True,2.71,161
ȶ͉,58,consonant,False,False,False,2.67,162
ȶ͈,58,consonant,False,False,False,2.67,163
l̪|l,58,consonant,False,False,False,2.67,164
mʷ,58,consonant,False,False,True,2.67,165
ʉ,57,vowel,False,False,False,2.62,166
ø,57,vowel,False,False,False,2.62,167
ɡʲ,57,consonant,False,False,False,2.62,168
dʑ,56,consonant,False,False,False,2.57,169
xʷ,56,consonant,False,False,False,2.57,170
s̪|s,55,consonant,False,False,False,2.53,171
æː,55,vowel,False,False,False,2.53,172
qʼ,55,consonant,False,False,False,2.53,173
bː,54,consonant,False,False,False,2.48,174
ħ,54,consonant,False,False,False,2.48,175
mʲ,53,consonant,False,False,True,2.44,176
ä,53,vowel,False,False,False,2.44,177
tː,53,consonant,False,False,False,2.44,178
kʷʼ,52,consonant,False,False,False,2.39,179
pː,52,consonant,False,False,False,2.39,180
l̥,52,consonant,False,False,False,2.39,181
˩,52,tone,False,True,False,2.39,182
ʑ,52,consonant,False,False,False,2.39,183
œ,51,vowel,False,False,False,2.34,184
b̤,50,consonant,False,False,False,2.3,185
pʲ,50,consonant,False,False,False,2.3,186
ɡː,50,consonant,False,False,False,2.3,187
lʲ,50,consonant,False,False,False,2.3,188
qʰ,50,consonant,False,False,False,2.3,189
ɰ,49,consonant,False,False,False,2.25,190
t͉,49,consonant,False,False,False,2.25,191
ŋɡʷ,49,consonant,False,False,False,2.25,192
hʷ,49,consonant,False,False,False,2.25,193
ɤ,49,vowel,False,False,False,2.25,194
õː,48,vowel,False,False,True,2.21,195
pʷ,48,consonant,False,False,False,2.21,196
˩˥,47,tone,False,True,False,2.16,197
bʷ,46,consonant,False,False,False,2.11,198
m̥,46,consonant,False,False,True,2.11,199
ɐ,46,vowel,False,False,False,2.11,200
rː,45,consonant,False,False,False,2.07,201
ui,45,vowel,False,False,False,2.07,202
yː,45,vowel,False,False,False,2.07,203
tʷ,45,consonant,False,False,False,2.07,204
nʲ,45,consonant,False,False,True,2.07,205
t͈,44,consonant,False,False,False,2.02,206
õ̞,44,vowel,False,False,True,2.02,207
ʈ͉,43,consonant,False,False,False,1.98,208
χʷ,43,consonant,False,False,False,1.98,209
n̥,42,consonant,False,False,True,1.93,210
jː,42,consonant,False,False,False,1.93,211
bʲ,42,consonant,False,False,False,1.93,212
ʝ,42,consonant,False,False,False,1.93,213
d̪|d,41,consonant,False,False,False,1.88,214
ɱv,41,consonant,False,False,False,1.88,215
nz,41,consonant,False,False,False,1.88,216
tɕʰ,41,consonant,False,False,False,1.88,217
dʲ,41,consonant,False,False,False,1.88,218
ŋk,41,consonant,False,False,False,1.88,219
z̪,41,consonant,False,False,False,1.88,220
ʈ͈,41,consonant,False,False,False,1.88,221
ia,40,vowel,False,False,False,1.84,222
ɲɟ,40,consonant,False,False,False,1.84,223
dː,39,consonant,False,False,False,1.79,224
nt,39,consonant,False,False,False,1.79,225
t̪͈,39,consonant,False,False,False,1.79,226
ʋ,39,consonant,False,False,False,1.79,227
ɮ,39,consonant,False,False,False,1.79,228
ua,39,vowel,False,False,False,1.79,229
ɯː,38,vowel,False,False,False,1.75,230
fː,38,consonant,False,False,False,1.75,231
ʃː,38,consonant,False,False,False,1.75,232
ẽː,38,vowel,False,False,True,1.75,233
sʲ,38,consonant,False,False,False,1.75,234
ʕ,38,consonant,False,False,False,1.75,235
t̪͉,38,consonant,False,False,False,1.75,236
fʷ,37,consonant,False,False,False,1.7,237
ɛ̃ː,36,vowel,False,False,True,1.65,238
ɒ,36,vowel,False,False,False,1.65,239
oi,35,vowel,False,False,False,1.61,240
ɖ̤,34,consonant,False,False,False,1.56,241
mp,34,consonant,False,False,False,1.56,242
ɡʱ,34,consonant,False,False,False,1.56,243
o̞ː,34,vowel,False,False,False,1.56,244
wː,33,consonant,False,False,False,1.52,245
cçʰ,33,consonant,False,False,False,1.52,246
ɥ,33,consonant,False,False,False,1.52,247
ɹ,33,consonant,False,False,False,1.52,248
ʈʂʰ,33,consonant,False,False,False,1.52,249
pf,33,consonant,False,False,False,1.52,250
t̪s̪,33,consonant,False,False,False,1.52,251
sʷ,33,consonant,False,False,False,1.52,252
ɢ,32,consonant,False,False,False,1.47,253
t̠ʃː,32,consonant,False,False,False,1.47,254
ɲː,32,consonant,False,False,True,1.47,255
ʄ,31,consonant,False,False,False,1.42,256
ŋː,31,consonant,False,False,True,1.42,257
ɺ,31,consonant,False,False,False,1.42,258
kʷʰ,31,consonant,False,False,False,1.42,259
qʷ,31,consonant,False,False,False,1.42,260
e̞ː,31,vowel,False,False,False,1.42,261
ɔ̃ː,31,vowel,False,False,True,1.42,262
ɑ̃,31,vowel,False,False,True,1.42,263
æ̃,31,vowel,False,False,True,1.42,264
d̪̤,31,consonant,False,False,False,1.42,265
ei,30,vowel,False,False,False,1.38,266
ɘ,30,vowel,False,False,False,1.38,267
øː,30,vowel,False,False,False,1.38,268
ẽ̞,30,vowel,False,False,True,1.38,269
äː,29,vowel,False,False,False,1.33,270
ɖʐ,29,consonant,False,False,False,1.33,271
nʷ,29,consonant,False,False,True,1.33,272
ʃʷ,28,consonant,False,False,False,1.29,273
lʷ,28,consonant,False,False,False,1.29,274
hʲ,28,consonant,False,False,False,1.29,275
fʲ,28,consonant,False,False,False,1.29,276
ɯ̃,28,vowel,False,False,True,1.29,277
ɵ,27,vowel,False,False,False,1.24,278
iu,27,vowel,False,False,False,1.24,279
r̥,26,consonant,False,False,False,1.19,280
t̪ʼ,26,consonant,False,False,False,1.19,281
rʲ,26,consonant,False,False,False,1.19,282
d̠ʒː,25,consonant,False,False,False,1.15,283
ʍ,25,consonant,False,False,False,1.15,284
