phoneme_A,phoneme_B,cooccurrence,jaccard,phi,freq_A,freq_B,class_A,class_B,pair_type
tʼ,pʼ,82,0.543,-0.1323,122,111,consonant,consonant,consonant-consonant
˦˨,n̠d̠ʒ,22,0.1038,-0.1302,122,112,tone,consonant,tone-consonant
m,ẽ,223,0.1049,-0.1189,2103,246,consonant,vowel,consonant-vowel
χ,tsʰ,24,0.0972,-0.1145,139,132,consonant,consonant,consonant-consonant
kʼ,tʼ,115,0.6686,-0.1111,165,122,consonant,consonant,consonant-consonant
ɖ,tsʰ,25,0.0933,-0.1095,161,132,consonant,consonant,consonant-consonant
o̞,t̠ʃʼ,25,0.0962,-0.1082,163,122,vowel,consonant,vowel-consonant
i,t̠ʃʰ,110,0.0532,-0.1074,2046,131,vowel,consonant,vowel-consonant
e̞,pʼ,25,0.1,-0.1067,164,111,vowel,consonant,vowel-consonant
ɑ,ɯ,25,0.1012,-0.1067,146,126,vowel,vowel,vowel-vowel
o̞,pʼ,25,0.1004,-0.1066,163,111,vowel,consonant,vowel-consonant
tsʰ,ɬ,25,0.1121,-0.1042,132,116,consonant,consonant,consonant-consonant
q,ʂ,26,0.0952,-0.103,167,132,consonant,consonant,consonant-consonant
m,kʷ,263,0.1237,-0.1013,2103,286,consonant,consonant,consonant-consonant
dz,n̠d̠ʒ,27,0.0863,-0.1009,228,112,consonant,consonant,consonant-consonant
e̞,t̠ʃʼ,26,0.1,-0.1007,164,122,vowel,consonant,vowel-consonant
i,t̠ʃʼ,103,0.0499,-0.0987,2046,122,vowel,consonant,vowel-consonant
ɗ,˦˨,27,0.0928,-0.0984,196,122,consonant,tone,consonant-tone
ɡʷ,tʼ,26,0.1074,-0.0982,146,122,consonant,consonant,consonant-consonant
tsʰ,tʼ,26,0.114,-0.0964,132,122,consonant,consonant,consonant-consonant
